Virginia Department of Education,,,,,,,,,,,,,,,,,,,,,
"2015-2016 Student Membership by School (Grade, Ethnicity, & Gender)",,,,,,,,,,,,,,,,,,,,,
(11/18/2015),,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Division No.,Division Name,School No.,School Name,Grade,Hispanic/ of any Race Male,Hispanic/ of any Race Female,"American Indian/Alaska Native 
Male","American Indian/Alaska Native 
Female",Asian Male,Asian Female,Black or African American Male,Black or African American Female,"Native Hawaiian/
Pacific Islander 
Male","Native Hawaiian/
Pacific Islander Female","White
Male",White Female,"Two or more races  (Non-Hispanic)
Male","Two or more races (Non-Hispanic)
Female","Total
Full-time Students",Part-time Students,"Total 
Full-time & Part-time Students"
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,5,0,3,0,0,0,0,4,2,0,0,10,17,0,0,36,0,36
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,KG,0,1,0,0,0,0,2,2,0,0,13,16,1,0,35,0,35
1,ACCOMACK CO PBLC SCHS,80,CHINCOTEAGUE ELEM,PK,0,0,0,0,1,0,4,2,0,0,6,3,0,0,16,0,16
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,6,1,1,0,0,0,0,3,1,0,0,11,15,0,0,32,0,32
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,7,0,0,0,0,0,0,1,1,0,0,17,12,0,0,31,0,31
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,8,3,1,1,0,0,0,3,3,1,0,28,13,0,0,53,0,53
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,9,1,4,0,0,0,0,3,1,0,0,17,17,0,0,43,0,43
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,10,0,1,0,0,2,0,5,0,0,0,22,16,0,0,46,0,46
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,11,1,0,0,0,1,0,3,1,0,0,16,17,0,1,40,0,40
1,ACCOMACK CO PBLC SCHS,580,CHINCOTEAGUE HIGH,12,2,1,0,0,0,1,4,1,0,0,23,14,0,0,46,0,46
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,1,7,7,0,0,0,1,18,18,0,0,18,17,0,0,86,0,86
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,2,16,15,0,1,0,1,23,18,0,0,18,21,1,1,115,0,115
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,3,13,10,0,0,0,0,17,20,0,0,18,17,0,0,95,0,95
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,4,15,12,0,0,0,0,19,19,0,0,13,16,0,0,94,0,94
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,5,7,11,0,0,1,0,12,11,0,0,13,20,0,0,75,0,75
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,KG,14,4,0,0,1,1,17,15,0,0,15,18,0,0,85,0,85
1,ACCOMACK CO PBLC SCHS,600,KEGOTANK ELEM,PK,14,8,0,0,0,0,10,4,0,0,9,6,0,0,51,0,51
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,1,16,20,0,0,1,0,16,25,0,0,12,6,0,0,96,0,96
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,2,17,21,0,0,2,0,20,21,0,0,15,10,0,0,106,0,106
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,3,20,16,0,0,0,0,17,24,0,0,15,11,2,2,107,0,107
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,4,24,13,0,0,0,0,18,21,0,0,11,4,0,0,91,0,91
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,5,18,14,0,0,0,1,24,11,0,0,14,13,0,0,95,0,95
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,KG,22,17,0,0,0,0,33,16,0,0,13,8,0,0,109,0,109
1,ACCOMACK CO PBLC SCHS,702,METOMPKIN ELEM,PK,11,8,0,0,0,0,6,2,0,0,4,3,0,0,34,0,34
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,9,19,18,1,0,0,0,43,38,0,0,61,48,0,2,230,0,230
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,10,27,18,0,0,0,1,38,29,0,0,44,31,1,1,190,0,190
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,11,15,8,0,1,1,1,31,32,0,0,39,25,1,1,155,0,155
1,ACCOMACK CO PBLC SCHS,70,NANDUA HIGH,12,11,6,1,0,1,0,33,33,0,0,40,36,1,0,162,0,162
1,ACCOMACK CO PBLC SCHS,703,NANDUA MIDDLE,6,16,14,0,0,0,1,41,37,0,0,41,28,0,0,178,0,178
1,ACCOMACK CO PBLC SCHS,703,NANDUA MIDDLE,7,14,18,1,0,0,0,40,30,0,0,51,34,0,0,188,0,188
1,ACCOMACK CO PBLC SCHS,703,NANDUA MIDDLE,8,13,9,0,1,1,0,44,36,0,1,33,36,0,0,174,0,174
1,ACCOMACK CO PBLC SCHS,590,PUNGOTEAGUE ELEM,1,10,11,0,0,0,0,15,24,0,1,12,12,0,0,85,0,85
